
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.6344050E-03   0.0000000E+00   0.0000000E+00   0.2518740E-01
      2   0.1221447E-02   0.3494921E-01   0.5562340E-02   0.0000000E+00
      3   0.3579254E-02   0.5982687E-01   0.9521741E-02   0.0000000E+00
      4   0.7072837E-02   0.8410016E-01   0.1338496E-01   0.0000000E+00
      5   0.9654067E-02   0.9825511E-01   0.1563779E-01   0.0000000E+00
      6   0.1499807E-01   0.1224666E+00   0.1949117E-01   0.0000000E+00
      7   0.1593648E+05   0.1262398E+03   0.2009168E+02   0.0000000E+00
      8   0.2474276E+05   0.1572983E+03   0.2503480E+02   0.0000000E+00
      9   0.3568205E+05   0.1888969E+03   0.3006388E+02   0.0000000E+00
     10   0.5030144E+05   0.2242798E+03   0.3569524E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.2844150E-01  -0.1681020E+01   0.1192451E-01   0.5951312E-01  -0.2796844E-02  -0.3532438E+00
      2  -0.6864251E+00   0.1161599E+00   0.2574768E-01   0.2267019E-01  -0.2051052E-01  -0.3347847E+00
      3   0.1532584E+01   0.2150024E-01  -0.3751068E-02   0.1380203E-01   0.3073872E-01  -0.1998182E+01
      4   0.5568374E-01   0.3232268E-01   0.1158951E+01   0.1824608E+01  -0.2882248E+00  -0.2888859E-01
      5   0.1321573E+00  -0.2434059E-01  -0.1200528E+00  -0.7169976E+00  -0.1345818E+00  -0.1305909E+00
      6  -0.2045010E-01  -0.1908745E-01   0.1217943E+01   0.5253402E+00  -0.1603391E+00   0.1899887E-01
      7   0.4539797E-07  -0.5390856E-08   0.3153136E-05   0.3002247E-05  -0.5993295E-06  -0.4071953E-07
      8  -0.6164695E-08   0.5343132E-08  -0.1877915E-06   0.4571904E-06   0.4515183E-07  -0.7734868E-13
      9  -0.7265871E-08  -0.2223790E-09   0.5760299E-06   0.4348060E-06  -0.1234190E-06   0.4439296E-08
     10  -0.2638643E-08  -0.8793956E-09   0.1980502E-06   0.5628856E-07  -0.4968039E-07   0.7375664E-08

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.8089188E-03   0.2825829E+01   0.1421939E-03   0.3541811E-02   0.7822335E-05   0.1247812E+00
      2   0.4711794E+00   0.1349311E-01   0.6629432E-03   0.5139375E-03   0.4206814E-03   0.1120808E+00
      3   0.2348813E+01   0.4622602E-03   0.1407051E-04   0.1904961E-03   0.9448687E-03   0.3992732E+01
      4   0.3100679E-02   0.1044756E-02   0.1343168E+01   0.3329195E+01   0.8307355E-01   0.8345507E-03
      5   0.1746556E-01   0.5924642E-03   0.1441267E-01   0.5140856E+00   0.1811227E-01   0.1705397E-01
      6   0.4182065E-03   0.3643307E-03   0.1483386E+01   0.2759823E+00   0.2570862E-01   0.3609572E-03
      7   0.2060976E-14   0.2906133E-16   0.9942265E-11   0.9013485E-11   0.3591959E-12   0.1658080E-14
      8   0.3800346E-16   0.2854906E-16   0.3526565E-13   0.2090230E-12   0.2038688E-14   0.5982818E-26
      9   0.5279289E-16   0.4945243E-19   0.3318105E-12   0.1890563E-12   0.1523225E-13   0.1970735E-16
     10   0.6962438E-17   0.7733367E-18   0.3922388E-13   0.3168402E-14   0.2468141E-14   0.5440042E-16
TOTAL     0.2841786E+01   0.2841786E+01   0.2841786E+01   0.4123509E+01   0.1282678E+00   0.4247843E+01

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.2841786E+01   0.2841786E+01   0.2841786E+01   0.4123509E+01   0.1282678E+00   0.4247843E+01

