
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.8116194E-03   0.0000000E+00   0.0000000E+00   0.2848893E-01
      2   0.7060734E-03   0.2657204E-01   0.4229072E-02   0.0000000E+00
      3   0.3331852E-02   0.5772220E-01   0.9186773E-02   0.0000000E+00
      4   0.8848707E-02   0.9406756E-01   0.1497132E-01   0.0000000E+00
      5   0.1264173E-01   0.1124355E+00   0.1789466E-01   0.0000000E+00
      6   0.1732029E-01   0.1316066E+00   0.2094584E-01   0.0000000E+00
      7   0.1592295E+05   0.1261862E+03   0.2008315E+02   0.0000000E+00
      8   0.2474389E+05   0.1573019E+03   0.2503538E+02   0.0000000E+00
      9   0.3567702E+05   0.1888836E+03   0.3006176E+02   0.0000000E+00
     10   0.5029727E+05   0.2242705E+03   0.3569376E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.2373113E-01  -0.1685054E+01   0.8387335E-03   0.4063159E-01   0.3834982E-03  -0.3097707E+00
      2  -0.1117647E+01  -0.3563538E-01  -0.2287836E-01  -0.8462207E-03  -0.6213606E-02   0.2541718E+00
      3   0.1260305E+01  -0.1320814E-02  -0.3602234E-01  -0.6841841E-01   0.2425160E-01  -0.2020065E+01
      4   0.4829865E-01   0.3204365E-01  -0.9547627E-01   0.9801049E+00   0.7460761E-01  -0.3868003E-01
      5   0.3234215E-01   0.6145418E-02   0.1327238E+01   0.1586221E+01  -0.3465428E+00  -0.6853164E-01
      6   0.1789565E-01   0.4396841E-02  -0.1034053E+01  -0.8002785E+00   0.4452756E-01  -0.1989464E-01
      7  -0.1199610E-07   0.8210372E-08  -0.2648706E-05  -0.2446449E-05   0.5122660E-06   0.2613160E-07
      8   0.1072964E-08   0.4563291E-08  -0.4970227E-06   0.5441118E-07   0.1214507E-06  -0.6184869E-08
      9  -0.4141132E-08   0.1640697E-08  -0.6428151E-06  -0.5923601E-06   0.1474952E-06   0.3085794E-08
     10  -0.3630302E-08   0.9642500E-09   0.1518037E-06   0.3321474E-06  -0.3789833E-07  -0.8159099E-09

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.5631663E-03   0.2839408E+01   0.7034738E-06   0.1650926E-02   0.1470709E-06   0.9595787E-01
      2   0.1249134E+01   0.1269880E-02   0.5234192E-03   0.7160895E-06   0.3860890E-04   0.6460329E-01
      3   0.1588368E+01   0.1744551E-05   0.1297609E-02   0.4681079E-02   0.5881401E-03   0.4080664E+01
      4   0.2332759E-02   0.1026795E-02   0.9115717E-02   0.9606056E+00   0.5566295E-02   0.1496145E-02
      5   0.1046015E-02   0.3776616E-04   0.1761560E+01   0.2516096E+01   0.1200919E+00   0.4696586E-02
      6   0.3202542E-03   0.1933221E-04   0.1069266E+01   0.6404457E+00   0.1982704E-02   0.3957968E-03
      7   0.1439064E-15   0.6741021E-16   0.7015644E-11   0.5985113E-11   0.2624164E-12   0.6828606E-15
      8   0.1151252E-17   0.2082363E-16   0.2470316E-12   0.2960576E-14   0.1475028E-13   0.3825261E-16
      9   0.1714897E-16   0.2691886E-17   0.4132112E-12   0.3508905E-12   0.2175484E-13   0.9522123E-17
     10   0.1317909E-16   0.9297781E-18   0.2304438E-13   0.1103219E-12   0.1436283E-14   0.6657089E-18
TOTAL     0.2841764E+01   0.2841764E+01   0.2841764E+01   0.4123480E+01   0.1282678E+00   0.4247814E+01

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.2841764E+01   0.2841764E+01   0.2841764E+01   0.4123480E+01   0.1282678E+00   0.4247814E+01

