
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.1229601E-02   0.0000000E+00   0.0000000E+00   0.3506567E-01
      2   0.1461564E-02   0.3823041E-01   0.6084558E-02   0.0000000E+00
      3   0.4138476E-02   0.6433099E-01   0.1023860E-01   0.0000000E+00
      4   0.9930412E-02   0.9965145E-01   0.1586002E-01   0.0000000E+00
      5   0.1311533E-01   0.1145222E+00   0.1822677E-01   0.0000000E+00
      6   0.1878054E-01   0.1370421E+00   0.2181093E-01   0.0000000E+00
      7   0.1648369E+05   0.1283888E+03   0.2043372E+02   0.0000000E+00
      8   0.2538134E+05   0.1593152E+03   0.2535580E+02   0.0000000E+00
      9   0.3649004E+05   0.1910237E+03   0.3040236E+02   0.0000000E+00
     10   0.5072615E+05   0.2252247E+03   0.3584562E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1047630E-01  -0.1713575E+01   0.4252908E-02   0.4256195E-01  -0.4752856E-03  -0.3198548E+00
      2  -0.1090881E+01  -0.6109358E-02  -0.1426792E-01  -0.1451373E-01  -0.8713852E-02   0.1767363E+00
      3  -0.1319160E+01  -0.6777275E-02   0.5900314E-01   0.1258047E+00  -0.2642967E-01   0.2069564E+01
      4   0.8262440E-01   0.2914162E-01   0.5684093E+00   0.1668939E+01  -0.9786942E-01  -0.1288910E+00
      5   0.1279241E-01  -0.4669139E-02   0.1163794E+01   0.8993742E+00  -0.3416942E+00  -0.3270426E-01
      6  -0.3329839E-03   0.3149710E-02  -0.1120757E+01  -0.8335140E+00   0.6663082E-01   0.6160965E-02
      7  -0.2212170E-07   0.8042309E-08  -0.2305572E-05  -0.2052128E-05   0.4426790E-06   0.3378953E-07
      8  -0.5598210E-08  -0.4177728E-08   0.5440448E-06   0.3400311E-07  -0.1358883E-06   0.1144160E-07
      9  -0.1652968E-08   0.2773127E-08  -0.5689657E-06  -0.4901377E-06   0.1236357E-06   0.2399567E-08
     10  -0.3647272E-09   0.7933213E-09   0.1034645E-06   0.2570166E-06  -0.2613198E-07  -0.3469051E-08

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1097528E-03   0.2936340E+01   0.1808723E-04   0.1811520E-02   0.2258964E-06   0.1023071E+00
      2   0.1190022E+01   0.3732425E-04   0.2035737E-03   0.2106485E-03   0.7593121E-04   0.3123574E-01
      3   0.1740182E+01   0.4593146E-04   0.3481370E-02   0.1582682E-01   0.6985275E-03   0.4283094E+01
      4   0.6826791E-02   0.8492337E-03   0.3230892E+00   0.2785359E+01   0.9578424E-02   0.1661288E-01
      5   0.1636456E-03   0.2180086E-04   0.1354416E+01   0.8088739E+00   0.1167549E+00   0.1069568E-02
      6   0.1108783E-06   0.9920675E-05   0.1256097E+01   0.6947456E+00   0.4439666E-02   0.3795749E-04
      7   0.4893695E-15   0.6467873E-16   0.5315661E-11   0.4211228E-11   0.1959647E-12   0.1141733E-14
      8   0.3133996E-16   0.1745341E-16   0.2959847E-12   0.1156211E-14   0.1846562E-13   0.1309102E-15
      9   0.2732302E-17   0.7690231E-17   0.3237220E-12   0.2402349E-12   0.1528580E-13   0.5757920E-17
     10   0.1330259E-18   0.6293587E-18   0.1070490E-13   0.6605751E-13   0.6828803E-15   0.1203431E-16
TOTAL     0.2937305E+01   0.2937304E+01   0.2937304E+01   0.4306827E+01   0.1315477E+00   0.4434357E+01

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.2937305E+01   0.2937304E+01   0.2937304E+01   0.4306827E+01   0.1315477E+00   0.4434357E+01

