
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.1105270E-04   0.3324560E-02   0.5291201E-03   0.0000000E+00
      2   0.9407037E-03   0.3067089E-01   0.4881424E-02   0.0000000E+00
      3   0.2509151E-02   0.5009143E-01   0.7972299E-02   0.0000000E+00
      4   0.1060411E-01   0.1029762E+00   0.1638918E-01   0.0000000E+00
      5   0.1232051E-01   0.1109978E+00   0.1766585E-01   0.0000000E+00
      6   0.1856899E-01   0.1362681E+00   0.2168774E-01   0.0000000E+00
      7   0.1592266E+05   0.1261850E+03   0.2008297E+02   0.0000000E+00
      8   0.2474355E+05   0.1573008E+03   0.2503520E+02   0.0000000E+00
      9   0.3568235E+05   0.1888977E+03   0.3006401E+02   0.0000000E+00
     10   0.5029961E+05   0.2242757E+03   0.3569459E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.7550704E-01  -0.1673274E+01   0.9950887E-03   0.3521515E-01   0.5052223E-03  -0.2437642E+00
      2  -0.1029652E+01  -0.2019837E+00  -0.1785901E-01  -0.3502169E-02  -0.7680911E-02   0.9504120E-01
      3   0.1333370E+01  -0.6177931E-01  -0.1065056E-01  -0.2669228E-01   0.1948083E-01  -0.2045435E+01
      4   0.2681772E-01   0.2491099E-01  -0.1856332E+00   0.9309760E+00   0.5771235E-01  -0.2145833E-01
      5  -0.1995539E-01  -0.3209680E-02  -0.1015813E+01  -0.1206113E+01   0.3295050E+00   0.3829458E-01
      6   0.1466418E-01   0.9270707E-03  -0.1333538E+01  -0.1344053E+01   0.1266456E+00  -0.1130198E-01
      7  -0.1443098E-07   0.8536429E-08  -0.2500222E-05  -0.2319911E-05   0.4607162E-06   0.2659029E-07
      8   0.8280583E-08   0.3995399E-08  -0.4679850E-06   0.8965142E-07   0.1197240E-06  -0.1473421E-07
      9  -0.1424088E-08   0.1687672E-08  -0.7455347E-06  -0.7070993E-06   0.1658578E-06   0.3154169E-08
     10   0.1690788E-08   0.7541178E-09   0.1572660E-06   0.3324283E-06  -0.3885408E-07  -0.6554347E-08

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.5701313E-02   0.2799847E+01   0.9902016E-06   0.1240107E-02   0.2552496E-06   0.5942098E-01
      2   0.1060183E+01   0.4079743E-01   0.3189444E-03   0.1226519E-04   0.5899640E-04   0.9032830E-02
      3   0.1777876E+01   0.3816683E-02   0.1134343E-03   0.7124776E-03   0.3795027E-03   0.4183805E+01
      4   0.7191899E-03   0.6205575E-03   0.3445969E-01   0.8667164E+00   0.3330715E-02   0.4604600E-03
      5   0.3982174E-03   0.1030205E-04   0.1031875E+01   0.1454709E+01   0.1085735E+00   0.1466475E-02
      6   0.2150383E-03   0.8594601E-06   0.1778324E+01   0.1806478E+01   0.1603911E-01   0.1277348E-03
      7   0.2082533E-15   0.7287062E-16   0.6251113E-11   0.5381987E-11   0.2122594E-12   0.7070434E-15
      8   0.6856805E-16   0.1596321E-16   0.2190099E-12   0.8037378E-14   0.1433383E-13   0.2170971E-15
      9   0.2028026E-17   0.2848236E-17   0.5558219E-12   0.4999895E-12   0.2750880E-13   0.9948781E-17
     10   0.2858764E-17   0.5686936E-18   0.2473260E-13   0.1105086E-12   0.1509640E-14   0.4295947E-16
TOTAL     0.2845093E+01   0.2845093E+01   0.2845093E+01   0.4129868E+01   0.1283821E+00   0.4254314E+01

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.2845093E+01   0.2845093E+01   0.2845093E+01   0.4129868E+01   0.1283821E+00   0.4254314E+01

